"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"PW-1","Epic","","Planning & Analysis","To Do","","","2025/08/25","","2025/09/07","purple"
"PW-6","Task","PW-1","Finalize Project Proposal & Requirements","Done","","2025/08/25","2025/08/25","2025/09/07","2025/09/07","purple"
"PW-2","Epic","","Design","To Do","","","2025/09/01","","2025/09/14","purple"
"PW-7","Task","PW-2","Create System Design Document","Done","","2025/09/01","2025/09/01","2025/09/14","2025/09/14","purple"
"PW-8","Task","PW-2","Finalize UI/UX Mockups","Done","","2025/09/01","2025/09/01","2025/09/14","2025/09/14","purple"
"PW-3","Epic","","Development","To Do","","","2025/09/29","","2025/10/19","purple"
"PW-9","Task","PW-3","Develop Backend APIs & Authentication","Done","","2025/09/29","2025/09/29","2025/10/12","2025/10/12","purple"
"PW-10","Task","PW-3","Mid-Semester Demonstration","Done","","2025/10/12","2025/10/12","2025/10/14","2025/10/14","purple"
"PW-11","Task","PW-3","Integrate Frontend with Backend APIs","Done","","2025/10/13","2025/10/13","2025/10/19","2025/10/19","purple"
"PW-4","Epic","","Testing & Deployment","To Do","","","2025/10/20","","2025/11/15","purple"
"PW-12","Task","PW-4","Create Test Plan and Execute Test Cases","To Do","","2025/10/20","2025/10/20","2025/11/04","2025/11/04","purple"
"PW-13","Task","PW-4","Deploy Final Application to Cloud","To Do","","2025/10/27","2025/10/27","2025/11/15","2025/11/15","purple"
"PW-5","Epic","","Final Submission","To Do","","","2025/11/10","","2025/11/18","purple"
"PW-14","Task","PW-5","Submit Final Application Code","To Do","","2025/11/10","2025/11/10","2025/11/15","2025/11/15","purple"
"PW-15","Task","PW-5","Write Final Project Report","To Do","","2025/11/10","2025/11/10","2025/11/18","2025/11/18","purple"
"PW-16","Task","PW-5","Prepare Final Presentation, Demo, and Poster","To Do","","2025/11/10","2025/11/10","2025/11/18","2025/11/18","purple"
"PW-17","Task","PW-5","Complete Peer Review and Contribution Report","To Do","","2025/11/10","2025/11/10","2025/11/18","2025/11/18","purple"
